track,name,corrected_hsec,submitted_on,visibility
ZCT234,dreadnaut,10341,"2021-01-10 13:26:35",public
ZCT234,CTG,6995,"2021-01-10 16:25:17",public
ZCT234,CTG,6634,"2021-01-10 16:42:24",public
ZCT234,CTG,6447,"2021-01-10 19:42:56",public
ZCT234,"Stan 286XT",13016,"2021-01-10 23:22:51",public
ZCT234,afullo,8939,"2021-01-11 00:15:14",public
ZCT234,Duplode,7268,"2021-01-11 00:15:27",public
ZCT234,Friker,9191,"2021-01-11 00:32:14",public
ZCT234,Cas,8265,"2021-01-11 03:34:58",public
ZCT234,KyLiE,7560,"2021-01-11 03:54:28",public
ZCT234,KyLiE,8748,"2021-01-11 03:57:14",public
ZCT234,"Stan 286XT",10632,"2021-01-11 07:57:09",public
ZCT234,"Akoss Poo",7112,"2021-01-11 14:24:41",public
ZCT234,"Akoss Poo",6695,"2021-01-11 14:38:05",public
ZCT234,CTG,6416,"2021-01-11 14:50:37",public
ZCT234,Daniel3D,10014,"2021-01-11 16:26:18",public
ZCT234,Daniel3D,10609,"2021-01-11 16:39:39",public
ZCT234,Daniel3D,12216,"2021-01-11 16:50:50",public
ZCT234,Friker,9566,"2021-01-11 18:42:08",public
ZCT234,Marco,9426,"2021-01-11 21:58:45",public
ZCT234,Marco,8817,"2021-01-11 22:15:08",public
ZCT234,Marco,8574,"2021-01-11 22:41:43",public
ZCT234,afullo,8461,"2021-01-11 22:44:31",public
ZCT234,CTG,6368,"2021-01-11 22:51:37",public
ZCT234,afullo,8195,"2021-01-11 22:58:25",public
ZCT234,CTG,8935,"2021-01-12 00:16:08",public
ZCT234,"Akoss Poo",6521,"2021-01-12 09:37:34",public
ZCT234,Daniel3D,8809,"2021-01-12 13:08:27",public
ZCT234,Daniel3D,8678,"2021-01-12 13:55:53",public
ZCT234,Duplode,8735,"2021-01-13 01:52:03",public
ZCT234,Friker,7017,"2021-01-13 22:27:13",public
ZCT234,Duplode,6308,"2021-01-15 02:21:17",public
ZCT234,Cas,7991,"2021-01-15 03:21:45",public
ZCT234,Cas,9474,"2021-01-15 03:39:55",public
ZCT234,Cas,7586,"2021-01-15 03:53:36",public
ZCT234,"Akoss Poo",6429,"2021-01-15 13:59:29",public
ZCT234,CTG,6334,"2021-01-15 21:58:58",public
ZCT234,CTG,6303,"2021-01-15 22:22:34",public
ZCT234,Marco,6577,"2021-01-15 23:42:45",public
ZCT234,CTG,6299,"2021-01-16 22:03:12",public
ZCT234,KyLiE,8487,"2021-01-17 03:24:16",public
ZCT234,KyLiE,6977,"2021-01-17 05:04:14",public
ZCT234,afullo,7556,"2021-01-17 21:22:04",public
ZCT234,"Akoss Poo",6334,"2021-01-20 15:10:17",public
ZCT234,Duplode,6251,"2021-01-21 00:52:41",public
ZCT234,matamo,10005,"2021-01-21 02:29:11",public
ZCT234,matamo,9326,"2021-01-21 03:59:38",public
ZCT234,matamo,8752,"2021-01-21 04:51:10",public
ZCT234,"Akoss Poo",6294,"2021-01-21 09:32:13",public
ZCT234,"Akoss Poo",6229,"2021-01-21 15:07:30",public
ZCT234,CTG,6238,"2021-01-21 17:08:57",public
ZCT234,CTG,6112,"2021-01-21 17:20:45",public
ZCT234,dreadnaut,7121,"2021-01-21 19:36:33",public
