"track","name","corrected_hsec","submitted_on","visibility"
"ZCT270","Erik Barros","9509","2024-01-14 22:25:51","public"
"ZCT270","Overdrijf","9287","2024-01-14 22:37:43","public"
"ZCT270","dreadnaut","8442","2024-01-14 22:44:04","public"
"ZCT270","dreadnaut","8077","2024-01-15 00:33:31","public"
"ZCT270","Alan Rotoi","7587","2024-01-15 00:43:06","public"
"ZCT270","Shoegazing Leo","12083","2024-01-15 00:53:58","public"
"ZCT270","Shoegazing Leo","10447","2024-01-15 00:58:30","public"
"ZCT270","Shoegazing Leo","9507","2024-01-15 01:03:55","public"
"ZCT270","Shoegazing Leo","8509","2024-01-15 01:07:47","public"
"ZCT270","Spoonboy","9705","2024-01-15 14:36:15","public"
"ZCT270","Spoonboy","8303","2024-01-15 15:00:12","public"
"ZCT270","Mark Nailwood","8266","2024-01-15 17:42:41","public"
"ZCT270","Mark Nailwood","7949","2024-01-15 17:58:00","public"
"ZCT270","Frieshansen","10667","2024-01-15 19:29:42","public"
"ZCT270","Cas","9655","2024-01-15 19:36:44","public"
"ZCT270","Cas","8965","2024-01-15 19:41:22","public"
"ZCT270","Frieshansen","8673","2024-01-15 19:58:21","public"
"ZCT270","Zapper","10053","2024-01-16 12:33:26","public"
"ZCT270","Zapper","9433","2024-01-16 12:40:57","public"
"ZCT270","Zapper","8272","2024-01-16 12:47:18","public"
"ZCT270","Zapper","8164","2024-01-16 12:56:03","public"
"ZCT270","Zapper","7999","2024-01-16 13:06:51","public"
"ZCT270","Zapper","8499","2024-01-16 13:18:21","public"
"ZCT270","Zapper","8583","2024-01-16 13:25:41","public"
"ZCT270","Zapper","8720","2024-01-16 13:32:28","public"
"ZCT270","Zapper","7587","2024-01-16 13:55:31","public"
"ZCT270","Zapper","9159","2024-01-16 14:00:47","public"
"ZCT270","Zapper","8986","2024-01-16 14:20:42","public"
"ZCT270","Spoonboy","8029","2024-01-16 14:24:23","public"
"ZCT270","Zapper","8436","2024-01-16 14:27:18","public"
"ZCT270","Zapper","9278","2024-01-16 14:38:17","public"
"ZCT270","Frieshansen","8253","2024-01-16 19:53:25","public"
"ZCT270","Duplode","7784","2024-01-17 05:55:17","public"
"ZCT270","Duplode","8197","2024-01-17 05:55:51","public"
"ZCT270","Duplode","9030","2024-01-17 05:56:07","public"
"ZCT270","Ryoma","9902","2024-01-17 10:36:10","public"
"ZCT270","Ryoma","10053","2024-01-17 10:39:56","public"
"ZCT270","Ryoma","8173","2024-01-17 10:45:06","public"
"ZCT270","Mark Nailwood","7437","2024-01-17 10:47:40","public"
"ZCT270","Ryoma","9119","2024-01-17 10:52:21","public"
"ZCT270","Ryoma","11544","2024-01-17 10:57:45","public"
"ZCT270","Ryoma","9209","2024-01-17 12:12:09","public"
"ZCT270","Ryoma","9811","2024-01-17 12:16:49","public"
"ZCT270","Ryoma","10181","2024-01-17 12:21:01","public"
"ZCT270","Ryoma","7814","2024-01-17 12:38:49","public"
"ZCT270","Ryoma","9216","2024-01-17 12:44:20","public"
"ZCT270","Alan Rotoi","7366","2024-01-17 13:02:16","public"
"ZCT270","Alan Rotoi","7465","2024-01-17 13:03:28","public"
"ZCT270","Ryoma","8873","2024-01-17 13:37:16","public"
"ZCT270","Mark Nailwood","9023","2024-01-17 14:20:26","public"
"ZCT270","Spoonboy","7539","2024-01-17 15:04:59","public"
"ZCT270","Zapper","7357","2024-01-17 17:16:38","public"
"ZCT270","Zapper","8430","2024-01-17 17:26:18","public"
"ZCT270","Zapper","10512","2024-01-17 17:35:57","public"
"ZCT270","Zapper","8221","2024-01-17 17:47:45","public"
"ZCT270","Marco","7126","2024-01-17 17:51:59","public"
"ZCT270","Zapper","8220","2024-01-17 18:14:21","public"
"ZCT270","Mark Nailwood","8742","2024-01-17 18:18:05","public"
"ZCT270","Zapper","7120","2024-01-17 21:13:46","public"
"ZCT270","Zapper","8025","2024-01-17 21:51:44","public"
"ZCT270","Zapper","8483","2024-01-17 22:04:50","public"
"ZCT270","Spoonboy","7434","2024-01-17 22:52:46","public"
"ZCT270","Ryoma","8851","2024-01-18 07:54:05","public"
"ZCT270","Ryoma","9297","2024-01-18 07:54:19","public"
"ZCT270","Marco","7078","2024-01-18 10:34:09","public"
"ZCT270","Spoonboy","7363","2024-01-18 11:22:11","public"
"ZCT270","Zapper","7018","2024-01-18 13:04:21","public"
"ZCT270","Marco","7011","2024-01-18 14:58:34","public"
"ZCT270","Zapper","6992","2024-01-18 15:10:50","public"
"ZCT270","Marco","6989","2024-01-18 15:16:13","public"
"ZCT270","Ryoma","9469","2024-01-18 15:39:46","public"
"ZCT270","Zapper","6989","2024-01-18 16:14:48","public"
"ZCT270","Ryoma","7715","2024-01-18 17:31:55","public"
"ZCT270","Ryoma","8385","2024-01-18 18:24:31","public"
"ZCT270","Martincho","13551","2024-01-18 20:00:34","public"
"ZCT270","Alecu","12396","2024-01-18 20:56:36","public"
"ZCT270","Zapper","6986","2024-01-19 16:06:17","public"
"ZCT270","Zapper","6979","2024-01-19 16:21:39","public"
"ZCT270","Martincho","12013","2024-01-19 18:53:22","public"
"ZCT270","Martincho","10259","2024-01-19 19:13:47","public"
"ZCT270","Marco","6966","2024-01-19 23:42:18","public"
"ZCT270","Frieshansen","9102","2024-01-20 11:32:25","public"
"ZCT270","dreadnaut","7571","2024-01-21 13:39:33","public"
"ZCT270","Frieshansen","6941","2024-01-21 18:17:36","public"
"ZCT270","Spoonboy","7325","2024-01-21 18:22:42","public"
"ZCT270","Ferrao","8090","2024-01-22 03:37:57","public"
"ZCT270","Spoonboy","7953","2024-01-22 17:44:42","public"
"ZCT270","dreadnaut","7382","2024-01-22 20:38:23","public"
"ZCT270","Zapper","6963","2024-01-23 20:44:29","public"
"ZCT270","Zapper","6938","2024-01-24 01:39:53","public"
"ZCT270","Ryoma","8288","2024-01-24 17:11:00","public"
"ZCT270","Frieshansen","6934","2024-01-24 19:19:19","public"
"ZCT270","Marco","6912","2024-01-25 00:37:13","normal"
"ZCT270","Ryoma","8991","2024-01-25 13:36:17","normal"
"ZCT270","Alan Rotoi","6868","2024-01-25 21:11:16","normal"
"ZCT270","Duplode","8422","2024-01-26 01:35:44","normal"
"ZCT270","Duplode","7355","2024-01-26 02:08:23","normal"
"ZCT270","Duplode","7635","2024-01-26 02:19:29","normal"
"ZCT270","Marco","6864","2024-01-26 02:27:14","normal"
"ZCT270","Alan Rotoi","6813","2024-01-26 03:34:37","normal"
"ZCT270","Alan Rotoi","8864","2024-01-26 03:36:30","normal"
"ZCT270","Marco","6832","2024-01-26 09:10:36","normal"
"ZCT270","Erik Barros","7990","2024-01-27 23:08:02","normal"
"ZCT270","Erik Barros","9255","2024-01-27 23:18:46","normal"
"ZCT270","Spoonboy","7576","2024-01-29 21:59:29","normal"
"ZCT270","Ryoma","8142","2024-01-31 13:56:53","normal"
"ZCT270","Ryoma","8186","2024-02-03 17:14:00","normal"
"ZCT270","Ryoma","8126","2024-02-03 17:14:31","normal"
"ZCT270","Duplode","8091","2024-02-04 16:13:08","normal"
"ZCT270","Alan Rotoi","10079","2024-02-05 15:31:46","normal"
