name,season,start_date,end_date
ZCT001,2001,2001-03-01,2001-03-31
ZCT002,2001,2001-04-01,2001-04-30
ZCT003,2001,2001-05-01,2001-05-31
ZCT004,2001,2001-06-01,2001-07-31
ZCT005,2001,2001-08-01,2001-08-31
ZCT006,2001,2001-09-01,2001-09-30
ZCT007,2001,2001-10-01,2001-10-31
ZCT008,2001,2001-11-01,2001-11-30
ZCT009,2001,2001-12-01,2001-12-31
ZCT010,2002,2002-01-04,2002-01-31
ZCT011,2002,2002-02-04,2002-02-28
ZCT012,2002,2002-03-04,2002-03-31
ZCT013,2002,2002-04-04,2002-04-30
ZCT014,2002,2002-05-04,2002-05-31
ZCTP1,2002,2002-06-01,2002-06-30
ZCT015,2002,2002-06-04,2002-07-14
ZCTP2,2002,2002-07-01,2012-07-31
ZCT016,2002,2002-07-15,2002-08-31
ZCTP3,2002,2002-08-01,2002-08-31
ZCT017,2002,2002-09-04,2002-09-30
ZCT018,2002,2002-10-04,2002-10-31
ZCT019,2002,2002-11-04,2002-11-30
ZCT020,2002,2002-12-04,2002-12-31
ZCT021,2003,2003-01-01,2003-01-31
ZCT022,2003,2003-02-01,2003-02-28
ZCT023,2003,2003-03-01,2003-03-21
ZCT024,2003,2003-03-22,2003-04-18
ZCT025,2003,2003-04-19,2003-05-17
ZCT026,2003,2003-05-19,2003-06-14
ZCT027,2003,2003-06-15,2003-07-12
ZCT028,2003,2003-07-13,2003-08-09
ZCT029,2003,2003-08-10,2003-09-06
ZCT030,2003,2003-09-07,2003-10-04
ZCT031,2003,2003-10-05,2003-10-26
ZCT032,2003,2003-11-01,2003-11-28
ZCT033,2003,2003-11-29,2003-12-26
ZCT034,2004,2004-01-05,2004-02-01
ZCT035,2004,2004-02-02,2004-02-28
ZCT036,2004,2004-03-01,2004-03-28
ZCT037,2004,2004-03-29,2004-04-25
ZCT038,2004,2004-04-26,2004-05-23
ZCT039,2004,2004-05-24,2004-06-20
ZCT040,2004,2004-06-21,2004-07-18
ZCT041,2004,2004-07-01,2004-07-31
ZCT042,2004,2004-08-16,2004-09-12
ZCT043,2004,2004-09-13,2004-10-10
ZCT044,2004,2004-10-11,2004-11-07
ZCT045,2004,2004-11-08,2004-12-05
ZCT046,2004,2004-12-06,2004-12-26
ZCT047,2005,2005-01-01,2005-01-31
ZCT048,2005,2005-02-01,2005-02-28
ZCT049,2005,2005-03-01,2005-03-31
ZCT050,2005,2005-04-01,2005-04-30
ZCT051,2005,2005-05-01,2005-05-31
ZCT052,2005,2005-06-01,2005-06-30
ZCT053,2005,2005-07-01,2005-07-31
ZCT054,2005,2005-08-01,2005-08-31
ZCT055,2005,2005-09-01,2005-09-30
ZCT056,2005,2005-10-01,2005-10-31
ZCT057,2005,2005-11-01,2005-11-30
ZCT058,2005,2005-12-01,2005-12-30
ZCT059,2006,2006-01-01,2006-01-31
ZCT060,2006,2006-02-01,2006-02-28
ZCT061,2006,2006-03-01,2006-03-31
ZCT062,2006,2006-04-01,2006-04-30
ZCT063,2006,2006-05-01,2006-05-31
ZCT064,2006,2006-06-01,2006-06-30
ZCT065,2006,2006-07-01,2006-07-31
ZCT066,2006,2006-08-01,2006-08-31
ZCT067,2006,2006-09-01,2006-09-30
ZCT068,2006,2006-10-01,2006-10-31
ZCT069,2006,2006-11-01,2006-11-30
ZCT070,2006,2006-12-01,2006-12-30
ZCT071,2007,2007-01-10,2007-01-31
ZCT072,2007,2007-02-01,2007-02-28
ZCT073,2007,2007-03-01,2007-03-31
ZCT074,2007,2007-04-01,2007-04-30
ZCT075,2007,2007-05-07,2007-06-01
ZCT076,2007,2007-06-02,2007-06-30
ZCT077,2007,2007-07-01,2007-07-31
ZCT078,2007,2007-08-01,2007-08-31
ZCT079,2007,2007-12-01,2007-12-31
ZCT080,2008,2008-01-01,2008-01-31
ZCT081,2008,2008-02-01,2008-02-29
ZCT082,2008,2008-03-01,2008-03-31
ZCT083,2008,2008-04-01,2008-04-30
ZCT084,2008,2008-05-01,2008-06-10
ZCT085,2008,2008-06-14,2008-07-25
ZCT086,2008,2008-07-26,2008-08-31
ZCT087,2008,2008-09-01,2008-09-30
ZCT088,2008,2008-10-01,2008-10-31
ZCT089,2008,2008-11-01,2008-11-30
ZCT090,2008,2008-12-01,2008-12-30
ZCT091,2009,2009-01-01,2009-01-31
ZCT092,2009,2009-02-01,2009-02-28
ZCT093,2009,2009-03-01,2009-03-31
ZCT094,2009,2009-04-01,2009-04-30
ZCT095,2009,2009-05-01,2009-05-31
ZCT096,2009,2009-06-01,2009-06-30
ZCT097,2009,2009-07-01,2009-07-31
ZCT098,2009,2009-08-02,2009-08-31
ZCT099,2009,2009-09-01,2009-09-30
ZCT100,2009,2009-10-01,2009-10-31
ZCT101,2009,2009-11-01,2009-11-30
ZCT102,2009,2009-12-01,2009-12-30
ZCT103,2010,2010-01-01,2010-01-31
ZCT104,2010,2010-02-01,2010-02-28
ZCT105,2010,2010-03-01,2010-03-31
ZCT106,2010,2010-04-01,2010-04-30
ZCT107,2010,2010-05-01,2010-05-31
ZCT108,2010,2010-06-01,2010-06-30
ZCT109,2010,2010-07-01,2010-07-31
ZCT110,2010,2010-08-01,2010-08-31
ZCT111,2010,2010-09-01,2010-09-30
ZCT112,2010,2010-10-01,2010-10-31
ZCT113,2010,2010-11-01,2010-11-30
ZCT114,2010,2010-12-01,2010-12-30
ZCT115,2011,2011-02-01,2011-02-27
ZCT116,2011,2011-03-01,2011-03-30
ZCT117,2011,2011-04-01,2011-04-29
ZCT118,2011,2011-05-01,2011-05-30
ZCT119,2011,2011-06-01,2011-06-29
ZCT120,2011,2011-07-01,2011-07-30
ZCT121,2011,2011-08-01,2011-08-30
ZCT122,2011,2011-09-01,2011-09-29
ZCT123,2011,2011-10-01,2011-10-30
ZCT124,2011,2011-11-01,2011-11-29
ZCT125,2011,2011-12-01,2011-12-30
ZCT126,2012,2012-01-04,2012-01-31
ZCT127,2012,2012-02-04,2012-02-28
ZCT128,2012,2012-03-04,2012-03-31
ZCT129,2012,2012-04-04,2012-04-30
ZCT130,2012,2012-05-04,2012-05-31
ZCT131,2012,2012-06-04,2012-06-30
ZCT132,2012,2012-07-04,2012-07-31
ZCT133,2012,2012-08-04,2012-08-31
ZCT134,2012,2012-09-04,2012-09-30
ZCT135,2012,2012-10-04,2012-10-31
ZCT136,2012,2012-11-04,2012-11-30
ZCT137,2012,2012-12-04,2012-12-31
ZCT138,2013,2013-01-04,2013-01-31
ZCT139,2013,2013-02-04,2013-02-28
ZCT140,2013,2013-03-04,2013-03-31
ZCT141,2013,2013-04-04,2013-04-30
ZCT142,2013,2013-05-04,2013-05-31
ZCT143,2013,2013-06-04,2013-06-30
ZCT144,2013,2013-07-04,2013-07-31
ZCT145,2013,2013-08-04,2013-08-31
ZCT146,2013,2013-09-04,2013-09-30
ZCT147,2013,2013-10-04,2013-10-31
ZCT148,2013,2013-11-04,2013-11-30
ZCT149,2013,2013-12-04,2013-12-31
ZCT150,2014,2014-01-04,2014-01-31
ZCT151,2014,2014-02-04,2014-02-28
ZCT152,2014,2014-03-04,2014-03-31
ZCT153,2014,2014-04-04,2014-04-30
ZCT154,2014,2014-05-04,2014-05-31
ZCT155,2014,2014-06-04,2014-06-30
ZCT156,2014,2014-07-05,2014-07-31
ZCT157,2014,2014-08-04,2014-08-31
ZCT158,2014,2014-09-04,2014-09-30
ZCT159,2014,2014-10-04,2014-10-31
ZCT160,2014,2014-11-04,2014-11-30
ZCT161,2014,2014-12-04,2014-12-29
ZCT162,2015,2015-01-18,2015-02-14
ZCT163,2015,2015-02-15,2015-03-14
ZCT164,2015,2015-03-15,2015-04-11
ZCT165,2015,2015-04-12,2015-05-09
ZCT166,2015,2015-05-09,2015-06-06
ZCT167,2015,2015-06-07,2015-07-04
ZCT168,2015,2015-07-05,2015-08-01
ZCT169,2015,2015-08-02,2015-08-29
ZCT170,2015,2015-08-30,2015-09-26
ZCT171,2015,2015-09-27,2015-10-24
ZCT172,2015,2015-10-25,2015-11-21
ZCT173,2015,2015-11-28,2015-12-19
ZCT174,2016,2016-01-17,2016-02-13
ZCT175,2016,2016-02-14,2016-03-12
ZCT176,2016,2016-03-13,2016-04-09
ZCT177,2016,2016-04-10,2016-05-07
ZCT178,2016,2016-05-08,2016-06-04
ZCT179,2016,2016-06-08,2016-07-02
ZCT180,2016,2016-07-06,2016-07-30
ZCT181,2016,2016-08-03,2016-08-27
ZCT182,2016,2016-08-31,2016-09-24
ZCT183,2016,2016-09-25,2016-10-22
ZCT184,2016,2016-10-25,2016-11-19
ZCT185,2016,2016-12-03,2016-12-31
ZCT186,2017,2017-01-19,2017-02-18
ZCT187,2017,2017-02-22,2017-03-18
ZCT188,2017,2017-03-20,2017-04-15
ZCT189,2017,2017-04-16,2017-05-13
ZCT190,2017,2017-05-16,2017-06-10
ZCT191,2017,2017-06-11,2017-07-08
ZCT192,2017,2017-07-11,2017-08-05
ZCT193,2017,2017-08-07,2017-09-02
ZCT194,2017,2017-09-04,2017-09-30
ZCT195,2017,2017-10-01,2017-10-28
ZCT196,2017,2017-10-30,2017-11-25
ZCT197,2017,2017-11-28,2017-12-23
ZCT198,2018,2018-01-14,2018-02-10
ZCT199,2018,2018-02-12,2018-03-10
ZCT200,2018,2018-03-12,2018-04-07
ZCT201,2018,2018-04-11,2018-05-05
ZCT202,2018,2018-05-07,2018-06-02
ZCT203,2018,2018-06-03,2018-06-30
ZCT204,2018,2018-07-02,2018-07-28
ZCT205,2018,2018-07-30,2018-08-25
ZCT206,2018,2018-08-27,2018-09-22
ZCT207,2018,2018-09-24,2018-10-20
ZCT208,2018,2018-10-22,2018-11-17
ZCT209,2018,2018-11-19,2018-12-15
ZCT210,2019,2019-01-13,2019-02-09
ZCT211,2019,2019-02-11,2019-03-09
ZCT212,2019,2019-03-11,2019-04-06
ZCT213,2019,2019-04-07,2019-05-04
ZCT214,2019,2019-05-06,2019-06-01
ZCT215,2019,2019-06-02,2019-06-29
ZCT216,2019,2019-06-30,2019-07-27
ZCT217,2019,2019-07-28,2019-08-24
ZCT218,2019,2019-08-28,2019-09-21
ZCT219,2019,2019-09-23,2019-10-19
ZCT220,2019,2019-10-22,2019-11-16
ZCT221,2019,2019-11-19,2019-12-14
ZCT222,2020,2020-01-13,2020-02-08
ZCT223,2020,2020-02-10,2020-03-07
ZCT224,2020,2020-03-09,2020-04-04
ZCT225,2020,2020-04-06,2020-05-02
ZCT226,2020,2020-05-04,2020-05-30
ZCT227,2020,2020-06-01,2020-06-27
ZCT228,2020,2020-06-29,2020-07-25
ZCT229,2020,2020-07-28,2020-08-22
ZCT230,2020,2020-08-23,2020-09-19
ZCT231,2020,2020-09-21,2020-10-17
ZCT232,2020,2020-10-19,2020-11-14
ZCT233,2020,2020-11-17,2020-12-12
ZCT234,2021,2021-01-11,2021-02-06
ZCT235,2021,2021-02-08,2021-03-06
ZCT236,2021,2021-03-08,2021-04-03
ZCT237,2021,2021-04-05,2021-05-01
ZCT238,2021,2021-05-03,2021-05-29
ZCT239,2021,2021-05-31,2021-06-26
ZCT240,2021,2021-06-28,2021-07-24
ZCT241,2021,2021-07-26,2021-08-21
ZCT242,2021,2021-08-23,2021-09-18
ZCT243,2021,2021-09-20,2021-10-16
ZCT244,2021,2021-10-18,2021-11-13
ZCT245,2021,2021-11-15,2021-12-11
ZCT246,2022,2022-01-17,2022-02-12
ZCT247,2022,2022-02-14,2022-03-12
ZCT248,2022,2022-03-14,2022-04-09
ZCT249,2022,2022-04-11,2022-05-07
ZCT250,2022,2022-05-09,2022-06-04
ZCT251,2022,2022-06-06,2022-07-02
ZCT252,2022,2022-07-04,2022-07-30
ZCT253,2022,2022-08-01,2022-08-27
ZCT254,2022,2022-08-31,2022-09-24
ZCT255,2022,2022-09-27,2022-10-22
ZCT256,2022,2022-10-24,2022-11-19
ZCT257,2022,2022-11-21,2022-12-17
ZCT258,2023,2023-01-16,2023-02-11
ZCT259,2023,2023-02-13,2023-03-11
ZCT260,2023,2023-03-13,2023-04-08
ZCT261,2023,2023-04-10,2023-05-06
ZCT262,2023,2023-05-08,2023-06-03
ZCT263,2023,2023-06-05,2023-07-01
ZCT264,2023,2023-07-03,2023-07-29
ZCT265,2023,2023-07-31,2023-08-26
ZCT266,2023,2023-08-28,2023-09-23
ZCT267,2023,2023-09-25,2023-10-21
ZCT268,2023,2023-10-23,2023-11-18
ZCT269,2023,2023-11-20,2023-12-16
ZCT270,2024,2024-01-15,2024-02-10
ZCT271,2024,2024-02-12,2024-03-09
ZCT272,2024,2024-03-11,2024-04-06
ZCT273,2024,2024-04-08,2024-05-04
ZCT274,2024,2024-05-07,2024-06-01
ZCT275,2024,2024-06-03,2024-06-29
ZCT276,2024,2024-07-01,2024-07-27
ZCT277,2024,2024-07-29,2024-08-24
ZCT278,2024,2024-08-26,2024-09-21
ZCT279,2024,2024-09-23,2024-10-19
ZCT280,2024,2024-10-21,2024-11-16
ZCT281,2024,2024-11-18,2024-12-14
ZCT282,2025,2025-01-14,2025-02-08
ZCT283,2025,2025-02-10,2025-03-08
ZCT284,2025,2025-03-10,2025-04-05
ZCT285,2025,2025-04-07,2025-05-03
ZCT286,2025,2025-05-05,2025-05-31
ZCT287,2025,2025-06-02,2025-06-28
ZCT288,2025,2025-06-30,2025-07-26
ZCT289,2025,2025-07-28,2025-08-23
ZCT290,2025,2025-08-25,2025-09-20
ZCT291,2025,2025-09-22,2025-10-18
ZCT292,2025,2025-10-20,2025-11-15
ZCT293,2025,2025-11-17,2025-12-13
ZCT294,2025,2026-01-12,2026-02-02
