"track","name","corrected_hsec","submitted_on","visibility"
"ZCT282","Cas","10424","2025-01-13 22:54:23","public"
"ZCT282","Cas","9824","2025-01-13 22:59:02","public"
"ZCT282","Cas","13106","2025-01-13 23:03:11","public"
"ZCT282","Zapper","9812","2025-01-14 00:29:00","public"
"ZCT282","dreadnaut","9239","2025-01-14 01:10:28","public"
"ZCT282","Mortimer McMire","10710","2025-01-14 08:58:59","public"
"ZCT282","Argammon","8054","2025-01-14 09:17:48","public"
"ZCT282","Mortimer McMire","9223","2025-01-14 09:22:01","public"
"ZCT282","Spoonboy","9269","2025-01-14 12:12:23","public"
"ZCT282","Spoonboy","8606","2025-01-14 19:11:10","public"
"ZCT282","Frieshansen","8585","2025-01-14 19:35:31","public"
"ZCT282","Overdrijf","9202","2025-01-14 19:46:47","public"
"ZCT282","Mortimer McMire","8880","2025-01-14 21:00:51","public"
"ZCT282","Spoonboy","8335","2025-01-15 00:25:16","public"
"ZCT282","Alan Rotoi","7376","2025-01-15 19:45:21","public"
"ZCT282","Duplode","8196","2025-01-16 00:26:56","public"
"ZCT282","Duplode","8147","2025-01-16 00:38:31","public"
"ZCT282","Argammon","7204","2025-01-16 07:22:12","public"
"ZCT282","Spoonboy","8122","2025-01-16 12:22:02","public"
"ZCT282","Argammon","7776","2025-01-16 18:05:06","public"
"ZCT282","Usrin","9541","2025-01-17 19:39:59","public"
"ZCT282","Duplode","8257","2025-01-18 21:15:53","public"
"ZCT282","dreadnaut","8241","2025-01-19 00:23:16","public"
"ZCT282","Frieshansen","8848","2025-01-19 16:10:31","public"
"ZCT282","Mortimer McMire","8766","2025-01-19 19:21:53","public"
"ZCT282","Stingray86","11117","2025-01-20 12:57:40","public"
"ZCT282","Mortimer McMire","8693","2025-01-20 15:03:39","public"
"ZCT282","Mark Nailwood","9635","2025-01-20 18:19:48","public"
"ZCT282","Mark Nailwood","8930","2025-01-20 18:33:53","public"
"ZCT282","Argammon","8093","2025-01-21 11:57:36","public"
"ZCT282","Frieshansen","8476","2025-01-21 19:58:23","public"
"ZCT282","Duplode","10903","2025-01-22 02:15:53","public"
"ZCT282","Zapper","8421","2025-01-22 18:56:34","public"
"ZCT282","Frieshansen","8900","2025-01-22 20:35:53","public"
"ZCT282","Mortimer McMire","12154","2025-01-23 15:18:33","public"
"ZCT282","Mortimer McMire","8654","2025-01-23 15:56:31","public"
"ZCT282","Frieshansen","7733","2025-01-24 00:05:08","normal"
"ZCT282","Duplode","6974","2025-01-24 00:54:12","normal"
"ZCT282","Argammon","6972","2025-01-24 07:25:05","normal"
"ZCT282","Mortimer McMire","8011","2025-01-24 09:28:50","normal"
"ZCT282","Mortimer McMire","7954","2025-01-24 09:31:46","normal"
"ZCT282","Alan Rotoi","6572","2025-01-24 16:01:11","normal"
"ZCT282","Spoonboy","7081","2025-01-24 17:18:18","normal"
"ZCT282","Cas","9246","2025-01-24 18:07:50","normal"
"ZCT282","Mark Nailwood","8557","2025-01-24 18:27:23","normal"
"ZCT282","Cas","9326","2025-01-24 18:54:40","normal"
"ZCT282","Cas","9106","2025-01-24 19:00:59","normal"
"ZCT282","Duplode","6916","2025-01-25 04:35:13","normal"
"ZCT282","Argammon","6896","2025-01-25 07:38:33","normal"
"ZCT282","Stingray86","10927","2025-01-25 12:25:14","public"
"ZCT282","Duplode","6884","2025-01-25 15:57:35","normal"
"ZCT282","Argammon","6880","2025-01-25 17:03:03","normal"
"ZCT282","Duplode","6872","2025-01-25 17:28:44","normal"
"ZCT282","Argammon","6868","2025-01-25 17:36:00","normal"
"ZCT282","afullo","9992","2025-01-25 22:38:49","normal"
